요일,성별정리,연령대,범죄카테고리
토,남,60대이상,기타
토,남,40대,교통
토,남,40대,기타
토,남,10대,절도
토,남,60대이상,기타
토,남,60대이상,교통
토,기타,10대,기타
토,남,30대,절도
토,남,40대,교통
금,남,30대,주취소란
금,남,40대,기타
금,여,60대이상,사기
금,기타,60대이상,사기
금,기타,60대이상,사기
금,기타,60대이상,사기
목,여,50대,폭력
목,여,30대,폭력
목,남,10대,기타
목,남,60대이상,기타
목,남,30대,교통
목,남,50대,기타
목,여,50대,기타
목,기타,60대이상,기타
목,기타,60대이상,사기
목,기타,60대이상,사기
수,기타,60대이상,기타
수,남,40대,주취소란
수,기타,60대이상,사기
화,남,60대이상,교통
화,남,60대이상,기타
화,기타,60대이상,사기
화,남,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,여,60대이상,폭력
화,남,60대이상,주취소란
화,남,60대이상,사기
화,남,50대,실종
화,여,50대,교통
화,남,60대이상,교통
화,남,60대이상,폭력
화,여,60대이상,교통
월,기타,60대이상,기타
월,남,60대이상,교통
월,남,20대,교통
월,남,50대,절도
월,남,30대,교통
월,기타,50대,교통
월,남,60대이상,절도
월,여,60대이상,교통
월,남,60대이상,교통
월,남,60대이상,주취소란
일,남,50대,절도
일,여,30대,교통
일,남,30대,기타
일,남,60대이상,기타
토,여,30대,생활소란
토,남,30대,교통
토,남,50대,교통
토,기타,50대,교통
금,기타,50대,교통
금,기타,60대이상,교통
금,여,60대이상,폭력
금,여,40대,폭력
금,남,60대이상,기타
금,남,40대,사기
금,남,60대이상,교통
금,기타,60대이상,사기
금,기타,60대이상,사기
금,여,60대이상,기타
금,남,60대이상,교통
목,남,20대,기타
목,남,10대,교통
목,기타,30대,폭력
목,기타,60대이상,기타
목,남,50대,교통
목,남,10대,교통
목,남,40대,교통
목,여,60대이상,실종
목,여,30대,기타
목,남,10대,기타
목,남,40대,교통
목,기타,60대이상,교통
목,남,40대,폭력
목,남,60대이상,절도
목,기타,60대이상,사기
목,남,60대이상,기타
목,기타,60대이상,사기
목,남,50대,기타
목,여,40대,기타
목,기타,60대이상,교통
목,기타,50대,절도
수,여,50대,교통
수,남,30대,기타
수,남,50대,교통
수,남,50대,실종
수,남,60대이상,교통
화,여,50대,폭력
화,여,60대이상,기타
화,남,10대,기타
화,남,60대이상,기타
화,남,10대,절도
화,여,50대,주취소란
화,남,40대,절도
월,여,60대이상,교통
월,남,40대,교통
월,남,30대,폭력
월,기타,40대,사기
월,기타,60대이상,사기
월,기타,60대이상,사기
월,여,60대이상,사기
월,기타,40대,교통
월,기타,60대이상,사기
월,여,60대이상,교통
월,여,20대,폭력
일,남,30대,교통
일,여,10대,기타
일,기타,40대,교통
일,기타,40대,교통
일,남,50대,교통
일,남,60대이상,교통
일,여,40대,기타
일,남,60대이상,교통
토,남,40대,기타
토,남,10대,절도
토,기타,60대이상,교통
토,남,60대이상,절도
토,남,60대이상,교통
토,남,50대,교통
금,남,60대이상,절도
금,여,60대이상,교통
금,남,60대이상,기타
금,남,10대,절도
금,남,10대,기타
금,남,30대,절도
금,여,50대,성범죄
금,남,40대,교통
금,기타,60대이상,기타
금,남,60대이상,폭력
목,남,30대,교통
목,남,60대이상,기타
목,남,40대,교통
목,남,60대이상,기타
목,남,40대,교통
목,기타,50대,기타
목,여,20대,교통
목,남,50대,사기
목,기타,60대이상,기타
목,여,30대,교통
목,여,20대,기타
수,남,10대,기타
수,여,60대이상,기타
수,여,60대이상,폭력
수,기타,40대,절도
수,여,60대이상,폭력
수,남,10대,폭력
수,남,60대이상,기타
수,남,20대,교통
화,여,30대,폭력
화,남,30대,폭력
화,남,60대이상,기타
화,기타,60대이상,교통
화,기타,40대,실종
화,남,10대,생활소란
화,여,60대이상,교통
월,남,20대,교통
월,여,60대이상,교통
월,남,30대,교통
월,남,60대이상,기타
월,남,60대이상,절도
월,남,30대,절도
일,여,50대,기타
일,남,60대이상,절도
일,여,60대이상,절도
일,기타,50대,기타
토,남,60대이상,기타
토,기타,60대이상,기타
토,남,60대이상,교통
토,남,20대,절도
토,여,60대이상,기타
토,여,50대,폭력
토,기타,60대이상,기타
토,남,20대,주취소란
금,여,30대,주취소란
금,남,40대,폭력
금,남,60대이상,교통
금,기타,10대,교통
금,남,50대,폭력
금,기타,60대이상,사기
금,기타,60대이상,사기
목,여,60대이상,교통
목,기타,50대,생활소란
목,남,60대이상,교통
목,기타,60대이상,기타
목,여,60대이상,기타
목,남,60대이상,절도
목,남,60대이상,주취소란
목,기타,60대이상,사기
목,여,10대,교통
목,기타,60대이상,사기
목,여,20대,폭력
수,남,20대,기타
수,남,60대이상,교통
수,남,20대,기타
수,남,60대이상,교통
수,남,60대이상,교통
수,남,50대,기타
수,기타,60대이상,기타
수,기타,60대이상,사기
수,기타,60대이상,사기
수,여,60대이상,사기
수,기타,10대,기타
수,남,60대이상,교통
화,남,60대이상,교통
화,남,60대이상,교통
화,남,60대이상,폭력
화,기타,40대,기타
화,여,30대,교통
화,기타,60대이상,생활소란
화,기타,60대이상,생활소란
화,여,50대,교통
화,남,60대이상,절도
화,여,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,여,60대이상,사기
화,여,50대,기타
화,기타,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,기타
화,여,50대,기타
월,여,50대,교통
월,여,30대,주취소란
월,남,30대,기타
월,기타,60대이상,사기
월,여,30대,기타
월,남,60대이상,사기
월,기타,40대,교통
월,남,10대,기타
일,여,50대,교통
일,여,60대이상,기타
일,기타,60대이상,기타
일,여,60대이상,기타
일,여,50대,성범죄
일,여,20대,폭력
일,남,10대,교통
토,기타,40대,교통
토,남,50대,실종
토,남,60대이상,절도
토,여,60대이상,기타
토,여,60대이상,교통
토,남,20대,폭력
토,남,60대이상,실종
토,여,60대이상,폭력
토,남,60대이상,기타
토,여,40대,교통
토,남,60대이상,기타
토,남,20대,절도
금,여,60대이상,기타
금,남,60대이상,교통
금,기타,60대이상,사기
금,남,40대,기타
금,기타,60대이상,사기
금,기타,60대이상,기타
금,기타,60대이상,사기
금,기타,60대이상,사기
금,남,60대이상,교통
목,여,40대,폭력
목,남,30대,기타
목,남,20대,절도
목,남,40대,기타
수,남,30대,폭력
수,남,60대이상,기타
수,남,60대이상,사기
수,남,10대,기타
수,남,30대,폭력
수,여,50대,기타
수,남,50대,교통
수,기타,60대이상,기타
수,남,20대,교통
화,여,60대이상,주취소란
화,남,60대이상,주취소란
화,남,50대,기타
화,기타,50대,사기
화,기타,60대이상,사기
화,기타,50대,기타
화,기타,60대이상,사기
화,남,50대,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,기타,40대,기타
화,여,60대이상,폭력
화,남,20대,교통
월,남,60대이상,기타
월,남,40대,교통
월,여,30대,교통
월,남,40대,기타
월,남,20대,기타
월,여,60대이상,사기
월,기타,60대이상,사기
월,여,60대이상,주취소란
월,남,50대,교통
월,기타,60대이상,사기
월,기타,10대,가정폭력
월,남,60대이상,교통
일,여,50대,교통
일,남,60대이상,교통
일,남,40대,기타
일,기타,50대,교통
일,여,50대,교통
일,기타,40대,교통
토,남,60대이상,기타
토,남,60대이상,기타
토,기타,60대이상,기타
토,여,50대,폭력
토,여,10대,폭력
토,남,60대이상,기타
토,남,10대,주취소란
금,기타,60대이상,기타
금,남,40대,폭력
금,기타,60대이상,기타
금,남,10대,폭력
금,남,40대,교통
금,기타,60대이상,사기
금,기타,60대이상,사기
금,남,60대이상,폭력
금,여,50대,주취소란
목,남,40대,교통
목,기타,60대이상,기타
목,기타,60대이상,사기
목,기타,50대,사기
목,기타,60대이상,사기
목,기타,60대이상,사기
목,기타,40대,교통
목,여,50대,교통
목,남,60대이상,사기
목,남,60대이상,기타
목,기타,60대이상,사기
목,기타,60대이상,기타
수,남,40대,기타
수,여,30대,교통
수,기타,10대,기타
수,남,50대,교통
화,남,50대,교통
화,남,50대,교통
화,기타,40대,교통
화,남,20대,교통
화,기타,60대이상,사기
화,남,60대이상,절도
화,기타,60대이상,사기
화,여,50대,기타
화,남,60대이상,기타
화,남,20대,사기
화,기타,60대이상,사기
화,기타,60대이상,사기
화,기타,60대이상,사기
화,기타,60대이상,교통
화,여,60대이상,교통
화,남,50대,기타
화,남,60대이상,폭력
월,여,60대이상,주취소란
월,여,30대,교통
월,남,60대이상,기타
월,남,60대이상,교통
월,기타,50대,교통
월,여,60대이상,절도
월,기타,60대이상,사기
월,기타,20대,사기
월,기타,60대이상,사기
월,기타,60대이상,사기
월,기타,60대이상,사기
월,남,50대,폭력
월,기타,60대이상,사기
일,남,50대,기타
일,기타,50대,교통
일,남,10대,절도
일,여,40대,교통
일,남,30대,교통
토,남,50대,폭력
토,기타,50대,기타
토,남,50대,교통
토,여,60대이상,폭력
토,남,60대이상,교통
토,남,50대,절도
토,기타,60대이상,기타
토,남,30대,주취소란
토,여,50대,기타
금,남,50대,폭력
금,기타,10대,기타
금,남,60대이상,기타
금,남,60대이상,기타
금,기타,40대,교통
금,남,60대이상,사기
금,남,60대이상,기타
금,남,40대,폭력
금,여,60대이상,기타
금,여,60대이상,사기
목,남,50대,기타
목,남,50대,기타
목,기타,50대,교통
목,남,20대,교통
수,여,40대,실종
수,남,60대이상,실종
수,남,20대,교통
수,남,40대,기타
수,남,40대,폭력
화,기타,60대이상,사기
화,여,60대이상,사기
화,남,60대이상,절도
화,남,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,기타,60대이상,사기
월,남,50대,교통
월,기타,50대,기타
월,여,20대,기타
일,기타,50대,절도
일,기타,40대,기타
일,남,60대이상,기타
토,여,50대,폭력
토,남,40대,교통
토,남,40대,폭력
토,남,60대이상,교통
토,여,50대,교통
토,기타,60대이상,기타
토,남,60대이상,폭력
토,여,60대이상,주취소란
금,남,60대이상,주취소란
금,기타,60대이상,사기
금,남,50대,교통
금,기타,60대이상,교통
금,기타,50대,교통
금,남,50대,교통
목,남,40대,기타
목,기타,50대,기타
목,남,60대이상,기타
수,여,20대,기타
수,남,50대,기타
수,남,60대이상,교통
수,기타,50대,사기
수,여,60대이상,교통
수,여,60대이상,기타
화,남,30대,절도
화,남,60대이상,교통
화,여,50대,사기
화,남,60대이상,사기
화,남,20대,절도
화,기타,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
월,남,50대,절도
월,여,60대이상,교통
월,기타,60대이상,사기
월,기타,50대,사기
월,여,40대,교통
월,남,60대이상,교통
월,남,30대,주취소란
월,남,10대,교통
월,기타,60대이상,사기
월,기타,60대이상,사기
월,여,60대이상,교통
일,여,60대이상,기타
일,남,10대,교통
일,남,10대,생활소란
토,여,60대이상,폭력
토,남,40대,교통
금,여,20대,기타
금,기타,60대이상,사기
금,남,60대이상,실종
금,여,60대이상,사기
금,여,20대,폭력
금,남,40대,주취소란
목,여,50대,폭력
목,남,50대,절도
목,기타,60대이상,사기
목,기타,60대이상,사기
목,남,60대이상,교통
목,남,50대,교통
목,기타,60대이상,기타
목,여,30대,사기
목,남,40대,사기
수,남,40대,교통
수,여,50대,폭력
수,남,10대,기타
수,여,10대,기타
수,남,60대이상,기타
수,기타,60대이상,사기
수,여,20대,교통
수,남,60대이상,기타
수,남,60대이상,기타
수,기타,60대이상,사기
수,기타,60대이상,사기
수,여,40대,교통
수,기타,50대,교통
화,여,20대,교통
화,남,20대,교통
화,기타,40대,교통
화,여,60대이상,기타
화,남,60대이상,기타
화,남,60대이상,사기
화,남,60대이상,교통
화,기타,50대,기타
화,여,40대,교통
화,여,10대,기타
화,기타,30대,기타
월,남,20대,절도
월,남,60대이상,폭력
월,남,60대이상,기타
월,여,60대이상,주취소란
월,남,40대,교통
월,여,50대,교통
월,여,60대이상,교통
월,기타,60대이상,사기
월,기타,60대이상,사기
월,기타,60대이상,사기
월,기타,60대이상,사기
월,남,50대,절도
월,여,60대이상,기타
월,기타,60대이상,사기
월,기타,50대,기타
월,남,40대,폭력
일,여,10대,교통
일,여,50대,폭력
일,남,50대,폭력
토,남,10대,절도
토,남,50대,기타
토,여,60대이상,폭력
토,여,20대,기타
토,기타,60대이상,기타
토,여,40대,기타
금,기타,20대,교통
금,남,50대,폭력
금,기타,60대이상,사기
금,기타,60대이상,사기
금,기타,60대이상,사기
금,기타,60대이상,사기
금,여,60대이상,기타
금,여,60대이상,기타
금,여,60대이상,교통
금,기타,10대,실종
목,남,60대이상,폭력
목,여,50대,주취소란
목,기타,50대,기타
목,기타,30대,기타
목,기타,60대이상,기타
목,여,20대,기타
목,남,30대,교통
목,남,50대,기타
목,남,40대,교통
수,여,50대,기타
수,남,50대,절도
수,여,60대이상,교통
수,남,50대,교통
수,여,60대이상,사기
수,기타,60대이상,사기
수,남,50대,기타
수,기타,60대이상,교통
수,기타,10대,기타
수,기타,60대이상,사기
수,여,60대이상,사기
수,기타,60대이상,사기
수,기타,60대이상,기타
수,기타,60대이상,기타
화,여,40대,폭력
화,여,60대이상,폭력
화,기타,30대,교통
화,기타,20대,교통
화,남,30대,교통
화,여,50대,교통
월,여,60대이상,기타
월,남,40대,폭력
월,기타,10대,폭력
월,남,30대,기타
월,남,30대,교통
월,여,10대,가정폭력
월,여,50대,사기
월,남,40대,교통
월,남,40대,기타
월,남,30대,교통
월,남,50대,폭력
월,남,30대,기타
월,여,60대이상,교통
일,기타,60대이상,폭력
일,여,20대,교통
일,여,60대이상,기타
일,남,40대,교통
토,여,60대이상,기타
토,여,40대,폭력
토,남,10대,기타
토,기타,40대,기타
토,남,60대이상,실종
토,여,60대이상,폭력
토,남,20대,교통
토,여,60대이상,교통
토,남,50대,기타
토,남,60대이상,절도
토,남,50대,기타
금,여,50대,교통
금,여,50대,교통
금,여,60대이상,실종
금,남,10대,절도
금,여,40대,교통
금,기타,60대이상,사기
금,남,60대이상,기타
금,여,10대,폭력
금,남,60대이상,기타
금,여,50대,교통
금,남,60대이상,기타
목,남,10대,기타
목,남,10대,절도
목,남,60대이상,폭력
목,남,50대,절도
목,기타,50대,기타
목,남,30대,성범죄
수,기타,30대,기타
수,남,40대,생활소란
수,남,60대이상,교통
수,기타,60대이상,사기
수,남,60대이상,기타
수,기타,60대이상,사기
수,기타,60대이상,사기
수,남,30대,사기
수,남,60대이상,교통
수,기타,60대이상,사기
수,여,60대이상,생활소란
수,기타,60대이상,교통
수,기타,60대이상,사기
수,기타,60대이상,사기
수,남,40대,기타
화,남,60대이상,교통
화,기타,60대이상,사기
화,남,30대,교통
화,기타,60대이상,사기
화,남,50대,교통
월,기타,40대,기타
월,남,60대이상,교통
월,기타,60대이상,교통
월,여,50대,주취소란
월,여,60대이상,주취소란
월,기타,40대,사기
월,여,20대,절도
월,기타,60대이상,사기
월,남,40대,기타
월,남,50대,사기
월,기타,60대이상,기타
월,기타,60대이상,폭력
월,남,60대이상,교통
월,남,60대이상,절도
월,남,50대,교통
일,여,50대,주취소란
일,남,60대이상,교통
일,기타,60대이상,교통
토,남,40대,주취소란
토,남,60대이상,교통
토,여,60대이상,교통
토,남,50대,절도
토,남,60대이상,기타
토,기타,60대이상,교통
토,남,60대이상,기타
금,여,50대,교통
금,기타,60대이상,기타
금,남,60대이상,교통
금,여,60대이상,사기
금,남,10대,기타
금,기타,60대이상,기타
금,기타,60대이상,사기
금,기타,50대,사기
금,여,60대이상,교통
금,여,30대,주취소란
금,남,30대,교통
금,기타,50대,사기
금,남,60대이상,사기
금,기타,60대이상,사기
금,여,60대이상,사기
금,여,50대,교통
목,남,30대,폭력
목,남,60대이상,기타
목,남,20대,교통
목,여,30대,폭력
목,기타,60대이상,기타
목,여,60대이상,사기
목,기타,60대이상,사기
목,기타,60대이상,교통
수,여,40대,교통
수,여,20대,폭력
수,남,60대이상,기타
수,남,30대,절도
수,여,40대,폭력
화,남,40대,교통
화,남,50대,주취소란
화,여,60대이상,주취소란
화,여,60대이상,기타
화,남,30대,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,기타,10대,사기
화,기타,60대이상,사기
화,여,60대이상,기타
월,여,50대,교통
월,남,20대,교통
월,여,60대이상,교통
월,남,10대,기타
월,기타,60대이상,사기
월,기타,60대이상,사기
월,여,50대,폭력
월,기타,60대이상,기타
월,여,60대이상,기타
월,남,60대이상,교통
월,여,10대,교통
월,기타,60대이상,사기
월,남,50대,사기
일,남,40대,교통
일,여,40대,절도
일,여,60대이상,교통
일,여,40대,교통
일,남,50대,교통
토,남,60대이상,교통
토,여,50대,기타
토,기타,40대,교통
토,남,60대이상,절도
토,기타,10대,기타
토,남,60대이상,교통
토,기타,30대,교통
토,남,60대이상,기타
토,남,60대이상,기타
금,남,10대,기타
금,남,50대,기타
금,여,50대,기타
금,남,60대이상,교통
금,여,50대,주취소란
금,남,60대이상,주취소란
금,남,20대,기타
금,남,60대이상,절도
금,남,60대이상,기타
금,여,60대이상,기타
금,남,50대,기타
금,남,10대,기타
금,남,20대,절도
금,남,40대,기타
금,기타,60대이상,사기
금,기타,60대이상,사기
금,여,10대,교통
목,남,10대,교통
목,남,40대,절도
목,남,50대,기타
목,남,10대,절도
목,남,40대,교통
목,기타,60대이상,사기
목,여,60대이상,폭력
목,남,10대,절도
목,여,40대,교통
목,여,50대,폭력
수,남,60대이상,폭력
수,남,40대,교통
수,남,50대,기타
수,남,60대이상,절도
수,여,40대,교통
수,남,50대,교통
수,기타,60대이상,사기
수,남,50대,절도
수,기타,60대이상,사기
수,기타,60대이상,사기
수,여,30대,교통
수,남,50대,폭력
수,기타,40대,교통
화,남,40대,기타
화,남,50대,기타
화,기타,50대,사기
화,여,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,여,60대이상,교통
화,기타,60대이상,사기
화,기타,60대이상,사기
화,기타,50대,사기
화,기타,60대이상,폭력
월,남,50대,기타
월,남,40대,기타
월,기타,40대,폭력
월,기타,60대이상,사기
월,남,60대이상,사기
월,남,60대이상,교통
월,기타,60대이상,사기
월,기타,60대이상,사기
월,기타,40대,기타
월,여,60대이상,사기
월,기타,60대이상,사기
월,남,50대,교통
월,기타,40대,교통
월,기타,60대이상,사기
월,남,60대이상,기타
월,여,50대,교통
일,남,50대,교통
일,여,60대이상,교통
일,여,60대이상,기타
일,기타,60대이상,교통
일,여,10대,기타
일,여,50대,폭력
일,남,40대,절도
일,남,60대이상,기타
일,여,50대,주취소란
토,남,60대이상,교통
토,남,30대,교통
토,기타,60대이상,기타
토,남,10대,절도
토,남,50대,절도
금,여,10대,교통
금,여,60대이상,생활소란
금,남,50대,교통
금,기타,40대,기타
금,남,10대,절도
금,남,50대,교통
금,기타,10대,기타
금,남,10대,기타
금,기타,50대,기타
금,남,50대,기타
금,기타,60대이상,사기
금,남,30대,기타
금,남,50대,폭력
금,남,40대,기타
금,여,60대이상,교통
목,남,10대,절도
목,남,10대,절도
목,남,40대,사기
목,여,50대,기타
목,기타,50대,사기
목,남,60대이상,기타
목,기타,60대이상,사기
목,기타,60대이상,사기
목,여,50대,교통
목,여,50대,기타
목,여,50대,기타
목,기타,30대,기타
목,기타,60대이상,사기
목,남,50대,기타
목,남,40대,교통
목,남,60대이상,기타
목,남,50대,교통
수,여,50대,폭력
수,여,60대이상,기타
수,남,60대이상,교통
수,남,60대이상,절도
수,기타,60대이상,사기
수,기타,60대이상,교통
수,여,10대,폭력
수,남,50대,기타
수,남,50대,절도
수,기타,60대이상,사기
수,기타,30대,기타
수,기타,60대이상,기타
수,기타,60대이상,사기
수,남,10대,절도
수,남,20대,기타
수,여,20대,교통
수,여,40대,주취소란
화,여,60대이상,가정폭력
화,여,20대,폭력
화,남,10대,절도
화,여,50대,교통
화,남,50대,기타
화,여,60대이상,주취소란
화,남,60대이상,교통
화,기타,60대이상,사기
화,남,60대이상,폭력
화,남,60대이상,교통
화,기타,60대이상,사기
화,여,60대이상,폭력
화,남,60대이상,기타
화,남,60대이상,교통
화,기타,10대,절도
화,남,60대이상,교통
화,여,60대이상,기타
월,여,10대,교통
월,남,40대,교통
월,여,60대이상,교통
월,남,40대,사기
월,남,60대이상,절도
월,기타,60대이상,사기
월,기타,40대,사기
월,남,50대,교통
월,기타,60대이상,사기
월,남,60대이상,기타
월,기타,60대이상,사기
월,여,60대이상,사기
월,여,50대,교통
일,남,10대,교통
일,남,40대,교통
일,여,60대이상,폭력
일,기타,50대,폭력
일,남,10대,기타
일,여,20대,교통
일,남,10대,생활소란
토,남,20대,기타
토,남,30대,교통
토,기타,50대,교통
토,여,50대,교통
토,여,20대,가정폭력
토,기타,60대이상,기타
토,여,50대,폭력
금,여,60대이상,교통
금,여,30대,절도
금,남,60대이상,기타
금,여,60대이상,사기
금,남,60대이상,교통
금,남,60대이상,사기
금,남,20대,교통
금,남,40대,기타
금,기타,60대이상,사기
금,남,60대이상,기타
금,기타,60대이상,사기
금,남,60대이상,교통
금,여,60대이상,폭력
금,여,10대,기타
목,여,50대,교통
목,여,60대이상,폭력
목,남,30대,폭력
목,남,40대,생활소란
목,남,60대이상,기타
목,기타,10대,교통
목,남,50대,절도
목,남,60대이상,폭력
목,남,50대,교통
목,여,30대,절도
목,남,60대이상,교통
수,남,40대,기타
수,남,40대,기타
수,여,10대,기타
수,남,50대,교통
수,남,50대,교통
수,기타,60대이상,교통
수,기타,50대,사기
수,기타,50대,사기
수,여,30대,기타
수,기타,40대,교통
화,여,10대,폭력
화,기타,60대이상,교통
화,남,50대,기타
화,남,60대이상,기타
화,남,60대이상,교통
화,남,10대,교통
월,남,60대이상,절도
월,남,50대,기타
월,남,50대,교통
월,남,50대,교통
월,남,10대,절도
월,기타,40대,사기
월,여,60대이상,기타
월,기타,50대,사기
월,남,50대,기타
월,여,60대이상,교통
월,남,60대이상,기타
월,남,60대이상,교통
일,남,40대,기타
일,여,50대,기타
일,여,60대이상,기타
